id,trade_id,designation,description,unit,category,estimated_price,user_id,is_system,created_at,updated_at
002af592-0079-4bca-991e-347cb92b9696,3ef0d530-6c52-482f-8a00-d8f191c2d0e5,Fourniture + pose d'une clôture grillagée rigide (panneaux + poteaux),"Hauteur 1,20 à 2,00 m, couleur verte ou anthracite",ml,Clôtures grillagées,0,,true,2025-07-29 13:55:11.110845+00,2025-07-29 13:55:11.110845+00
02a18b92-583b-4fcb-a07a-eba498ef8d01,bece0a63-f08a-4f0a-ab8a-4d680c865487,Fourniture + installation de volet roulant immergé ou hors-sol motorisé,"Conforme norme NF P90-308, sécurité enfant",U,Volets piscine,0,,true,2025-07-29 14:01:13.012645+00,2025-07-29 14:01:13.012645+00
02cf17d4-3b7c-4a7d-9024-dc58e8738308,fc2b8e2e-41ce-487b-a194-0199451e9747,"Fourniture et pose de grille de défense barreaux acier 20x20 mm, scellée dans tableau",Pour rez-de-chaussée ou fenêtres protégées,unité,Métallerie,0,,true,2025-07-31 13:12:44.48802+00,2025-07-31 13:12:44.48802+00
02f24d0d-1d8c-420c-97fd-acad36051cdb,ae7192bc-8129-46c4-ae8d-a5d5e1346e37,Fourniture + pose d'un enrobé à chaud 0/10 noir sur cour ou allée,"Épaisseur 4 cm, compacté, finition lissée ou rugueuse selon usage",m²,Enrobés,0,,true,2025-07-29 13:59:37.019581+00,2025-07-29 13:59:37.019581+00
03274997-e019-4297-bdc3-f33d83a234cf,1221247a-8f1b-48a6-b44a-45966baca39e,"Liteaux en sapin traité 25x40 mm, entraxe selon type de couverture, pose sur chevrons",Conforme DTU 40.21,m²,CHARPENTE BOIS,0,,true,2025-07-31 09:42:37.3081+00,2025-07-31 09:46:30.0661+00
035e4b59-8cfa-4706-b347-9bedb0cfdbcb,87c7b95f-c264-4a61-a7fa-f90c296826a8,"Mur en parpaings creux 20x20x50, montage au mortier dosé 350 kg/m³, joints pleins",Élévation conforme DTU 20.1,m²,MAÇONNERIE,0,,true,2025-07-31 10:12:12.061326+00,2025-07-31 10:12:12.061326+00
03c1d6e9-88d6-476f-96a5-3b53a6fddf48,bece0a63-f08a-4f0a-ab8a-4d680c865487,Fourniture + construction d'une piscine béton armé (fond + murs banchés ou agglos à bancher),"Comprend ferraillage, coffrage, coulage, étanchéité",m²,Piscines béton,0,,true,2025-07-29 14:01:13.012645+00,2025-07-29 14:01:13.012645+00
03d7e130-d6a0-4d8e-9d8a-f3035a1d5160,2d4265eb-a3b7-4b40-b16e-b8f6bde40bd1,Fourniture + pose de fenêtre aluminium à rupture de pont thermique,Coulissant ou battant – seuil PMR en option,u,Fenêtres,0,,true,2025-07-29 12:36:37.017761+00,2025-07-29 12:36:37.017761+00
04538233-edb3-4e1a-8f3c-dcf59a847e92,87c7b95f-c264-4a61-a7fa-f90c296826a8,"Muret béton blocs 15x20x50, pose avec chaînage vertical et horizontal",À enduire ou habiller ensuite,m²,MAÇONNERIE,0,,true,2025-07-31 10:12:12.061326+00,2025-07-31 10:12:12.061326+00
046fd297-78f7-45a5-8aad-0d5392fa03a8,3ef0d530-6c52-482f-8a00-d8f191c2d0e5,Fourniture + pose d'un portail coulissant acier thermolaqué,"Rail au sol, guidage haut, serrure ou automatisme",U,Portails coulissants,0,,true,2025-07-29 13:55:11.110845+00,2025-07-29 13:55:11.110845+00
0499b873-73e4-4d57-b814-d1e38e2afd4d,aa5e359a-c8ca-4cdd-912f-ef7b1359db5c,Fourniture et pose de faux plafond démontable (dalles 600x600 sur ossature apparente),"Pour locaux techniques, bureaux",m²,Faux plafonds,0,,true,2025-07-29 12:54:16.79514+00,2025-07-31 10:36:05.324751+00
061d71b9-dee1-44f0-8c9d-92bafbd5aeac,c91a6dd4-464c-4c80-b1cd-8b2973b44f86,Fourniture et pose de toile de verre à peindre,"Pose en plein, joints invisibles",m²,Toiles et papiers peints,0,,true,2025-07-29 13:19:39.044869+00,2025-07-29 13:19:39.044869+00
063edf45-d01c-441c-bb9c-04af976f4c76,83bbbf37-f21e-406d-8c54-e6144839b296,Démolition complète d'un bâtiment existant R+1,"Inclut curage, désamiantage (si nécessaire), évacuation totale",Forfait,Bâtiment complet,0,,true,2025-07-29 13:41:10.489997+00,2025-07-29 13:41:10.489997+00
06978d72-22d3-4f8a-be96-5cd88dc8b491,941febc8-d596-4f9a-82a3-0af0b154e5cf,Fourniture + installation d'une pompe de relevage pour eaux usées,"Cuve, flotteur, groupe de pompage inclus",U,Évacuation,0,,true,2025-07-29 13:51:12.684042+00,2025-07-29 13:51:12.684042+00
069940ac-403c-4779-8310-9dfee193dc48,2d4265eb-a3b7-4b40-b16e-b8f6bde40bd1,Fourniture + pose d'un volet roulant motorisé en aluminium,"Commande filaire ou radio, pose en tunnel ou en applique",U,Volets roulants,0,,true,2025-07-29 13:52:38.679701+00,2025-07-29 13:52:38.679701+00
0780c0c1-05ee-4406-acc7-5204d6df9862,fc2b8e2e-41ce-487b-a194-0199451e9747,"Fourniture et pose de main courante acier laqué, fixation murale",Hauteur 90 cm standard,ml,Métallerie,0,,true,2025-07-31 13:12:44.48802+00,2025-07-31 13:12:44.48802+00
07d5752d-c10f-4b7f-a104-fc1e25ed9eff,c91a6dd4-464c-4c80-b1cd-8b2973b44f86,"Fourniture et pose de peinture acrylique mate blanche, 2 couches, murs préparés","Préparation des fonds incluse (rebouchage, ponçage léger)",m²,PEINTURE,0,,true,2025-07-31 10:55:34.305975+00,2025-07-31 10:55:34.305975+00
07f849b7-474b-4863-a837-5a50592f425f,3ef0d530-6c52-482f-8a00-d8f191c2d0e5,Fourniture + pose d'un portail battant en aluminium avec motorisation,"Motorisation à bras ou vérins, télécommande, poteaux inclus",U,Portails battants,0,,true,2025-07-29 13:55:11.110845+00,2025-07-29 13:55:11.110845+00
089d1352-98ae-4d97-9a71-a82cae743af9,d5c930da-35c4-4d80-9da4-50c017343aaa,Fourniture + nettoyage haute pression de façade,"Eau chaude ou froide, sans dégradation des supports",m²,Façades,0,,true,2025-07-29 14:07:51.388649+00,2025-07-29 14:07:51.388649+00
09a7d97b-0e4d-46a9-aad6-5344fec34f73,87c7b95f-c264-4a61-a7fa-f90c296826a8,Fourniture et pose de murets de clôture en agglo,Enduit et chapeau de muret en option,ml,MAÇONNERIE,0,,true,2025-07-31 10:12:12.061326+00,2025-07-31 10:12:12.061326+00
09abcc05-d910-4f61-a814-e5a467ca8da6,bc727ba9-e212-4d3d-a980-96585f12ffa3,Fourniture + pose de luminaires LED encastrés en terrasse,"Étanchéité IP67, raccordement électrique inclus",U,Éclairage,0,,true,2025-07-29 13:57:49.360903+00,2025-07-29 13:57:49.360903+00
09c8bbfd-fdc1-4163-a9ea-d077872babe8,64ac6f32-39e4-4666-ba10-1ba5f612a151,Fourniture + traitement préventif de charpente contre les insectes xylophages,Injection et pulvérisation de produit insecticide fongicide,m²,Charpente préventif,0,,true,2025-07-29 14:05:34.009323+00,2025-07-29 14:05:34.009323+00
0a5c1cee-2f01-4010-8b6d-ca6909747553,fc2b8e2e-41ce-487b-a194-0199451e9747,"Fourniture et pose de porte métallique coupe-feu EI30, fermeture 1 point, ferme-porte inclus","Pour local technique, ERP ou garage collectif",unité,Métallerie,0,,true,2025-07-31 13:12:44.48802+00,2025-07-31 13:12:44.48802+00
0acba484-b89a-458e-b346-6e6f81ef7929,36379574-c8e0-4c76-b6ff-2d0c4e90b465,Dégorgement canalisation lavabo ou évier (pompe manuelle ou furet),Intervention sans démontage complet,forfait,Fourniture + Pose,0,,true,2025-07-31 13:56:47.244148+00,2025-07-31 13:56:47.244148+00
0ad3ddb1-6738-476f-af0d-fb2ca7c0916f,941febc8-d596-4f9a-82a3-0af0b154e5cf,Fourniture + pose d'un chauffe-eau électrique standard 200 L,"Avec groupe de sécurité, raccordement compris",U,Eau chaude,0,,true,2025-07-29 13:51:12.684042+00,2025-07-29 13:51:12.684042+00
0af9f456-c65e-4d46-a9c7-01e2cfabe091,18512a57-9384-4e61-ae40-cd2100d8d037,Fourniture + pose de clapet anti-retour,,u,Évacuation,0,,true,2025-07-29 13:28:31.310826+00,2025-07-29 13:28:31.310826+00
0b660df9-169b-4bf8-a048-2bda04d0c007,83bbbf37-f21e-406d-8c54-e6144839b296,"Démolition cloison légère (placo ou carreaux plâtre), dépose soignée, évacuation",Préservation des réseaux si existants,m²,CLOISON,0,,true,2025-07-31 12:25:47.40362+00,2025-07-31 12:25:47.40362+00
0b8760b3-2a93-4cc4-82ed-2e1d845659c1,64ac6f32-39e4-4666-ba10-1ba5f612a151,Fourniture et pose de bouche VMC spéciale cave/humidité,Ventilation hygroréglable passive,unité,Fourniture + Pose,0,,true,2025-07-31 13:51:29.267953+00,2025-07-31 13:51:29.267953+00
0ba3c532-8bcd-4ec6-8afb-8076605d2247,cfdf2048-95ca-4c75-b279-83cb5f69cfdc,"Fourniture + pose de béton armé dosé à 350 kg/m³ pour dallage sur terre-plein, y compris treillis soudé ST25","Conforme DTU 13.3 – béton armé, sous dallage ou dallage brut",m³,Dallages,0,,true,2025-07-29 13:39:47.690557+00,2025-07-29 13:39:47.690557+00
0bb672a0-3b0a-41d2-8804-00bda2bded1c,bece0a63-f08a-4f0a-ab8a-4d680c865487,Fourniture + pose d'une piscine coque polyester enterrée (jusqu'à 8 x 4 m),"Terrassement, dalle, remblai, mise en eau, raccordements",U,Piscines coques,0,,true,2025-07-29 14:00:48.342559+00,2025-07-29 14:00:48.342559+00
0bf940d4-cafa-47ea-b723-f6b4119e3c76,3ef0d530-6c52-482f-8a00-d8f191c2d0e5,Fourniture + pose d'une clôture bois naturelle (panneaux + piquets),"Bois traité classe 3 ou 4, fixations inox",ml,Clôtures bois,0,,true,2025-07-29 13:55:11.110845+00,2025-07-29 13:55:11.110845+00
0c635941-3c5c-45a7-a0b6-c2ce5e5efd25,fc2b8e2e-41ce-487b-a194-0199451e9747,Fourniture + pose d'un garde-corps métallique sur mesure,Conforme norme NF P01-012 / NF P01-013,ml,Garde-corps,0,,true,2025-07-29 13:45:50.453003+00,2025-07-29 13:45:50.453003+00
0ca1844a-f93a-4af5-b084-a34bb35e0ec3,36379574-c8e0-4c76-b6ff-2d0c4e90b465,"Fourniture + remise en état de tableau électrique (fusibles, disjoncteurs, bornes)","Diagnostic rapide, remplacement des composants si accessibles",Interv.,Électricité tableau,0,,true,2025-07-29 14:13:56.94271+00,2025-07-29 14:13:56.94271+00
0dc0f1cd-bf80-429e-84b9-768bc7cc14c3,d5c930da-35c4-4d80-9da4-50c017343aaa,"Fourniture + enlèvement de gravats et déchets de chantier (mise en sac, évacuation)",Transport inclus vers décharge autorisée,m³,Gravats,0,,true,2025-07-29 14:07:51.388649+00,2025-07-29 14:07:51.388649+00
0e63f8ab-17bc-4aed-b4e8-44d8e0005211,3f8ab401-45dd-4880-84fa-210707660b8e,Fourniture et pose d'interphone audio 2 postes pour maison individuelle,Pose en saillie + câblage,forfait,Équipements techniques,0,,true,2025-07-31 13:16:26.848436+00,2025-07-31 13:16:26.848436+00
0e78a16d-2ba6-403b-8e95-7d90ae4c9762,1221247a-8f1b-48a6-b44a-45966baca39e,Renforcement partiel de charpente existante par doublage,Contre-flèche selon portée – à confirmer sur site,ml,Renforcement et réparation,0,,true,2025-07-29 12:31:35.953123+00,2025-07-29 12:31:35.953123+00
0ec0e110-11fe-4864-b7ff-781f2bc09f88,5c49b532-d767-4d38-bcb1-c3b58e52b0d0,"Peinture de façade acrylique pliolite 2 couches, avec préparation du support",Résistance renforcée aux intempéries,m²,FAÇADE / RAVALEMENT,0,,true,2025-07-31 09:49:56.269111+00,2025-07-31 09:49:56.269111+00
0f56ccb5-b40e-4d89-8b7f-09f3d50b0796,3f8ab401-45dd-4880-84fa-210707660b8e,Fourniture et pose de coffret GTL (gestion technique logement) avec prises RJ et TV,Pour logement neuf ou rénovation complète,unité,Équipements techniques,0,,true,2025-07-31 13:16:26.848436+00,2025-07-31 13:16:26.848436+00
0f8bfae5-5fba-4cf1-8cf4-90e3533fd5f5,18512a57-9384-4e61-ae40-cd2100d8d037,Fourniture + pose de nourrices de distribution avec vannes,,u,Alimentation en eau,0,,true,2025-07-29 13:28:31.310826+00,2025-07-29 13:28:31.310826+00
1030f52d-0285-440b-baf9-2dad4e42ef0a,fa7512ef-49e2-47ad-b080-d0b4252ccc7f,Fourniture et pose de support mural renforcé pour unité extérieure,Fixation chimique possible,unité,SUPPORT,0,,true,2025-07-31 12:38:05.375028+00,2025-07-31 12:38:05.375028+00
10434db8-9561-4a37-b454-514431ff810b,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Fourniture + pose de fenêtres de toit type Velux®,"Étanchéité abergement zinc/plomb, pose sur toiture inclinée",unité,Ouvertures et éclairage naturel,0,,true,2025-07-29 12:30:44.526852+00,2025-07-29 12:30:44.526852+00
11059e58-989c-4c56-9ecd-fe07ae00ef98,ae7192bc-8129-46c4-ae8d-a5d5e1346e37,Fourniture + pose de bordures T2 en béton,"Pose sur lit de béton, joints de dilatation tous les 4 ml",ml,Bordures,0,,true,2025-07-29 13:59:37.019581+00,2025-07-29 13:59:37.019581+00
1137e858-044b-4fd6-98fc-d1731fb914eb,6d251a1e-3ab9-4ccb-a610-5b238e7aae64,"Fourniture et pose de terrasse bois exotique sur sol stabilisé, lambourdes + visserie inox",Pose sur géotextile + plots réglables,m²,Fourniture + Pose,0,,true,2025-07-31 13:49:31.60704+00,2025-07-31 13:49:31.60704+00
1160aa4c-2641-437c-9c96-109b582577dc,64ac6f32-39e4-4666-ba10-1ba5f612a151,"Réalisation de drainage périphérique maison, tuyau drain + géotextile + gravier",Tranchée 60x40 cm standard,ml,Fourniture + Pose,0,,true,2025-07-31 13:51:29.267953+00,2025-07-31 13:51:29.267953+00
12173c70-512f-4ac0-b80f-06fc5d6fc389,bc727ba9-e212-4d3d-a980-96585f12ffa3,"Nettoyage haute pression terrasse, traitement anti-mousse préventif",Traitement incolore – non glissant,m²,Fourniture + Pose,0,,true,2025-07-31 13:43:54.431205+00,2025-07-31 13:43:54.431205+00
12dea708-3a48-46b7-8240-9569787712dd,6d251a1e-3ab9-4ccb-a610-5b238e7aae64,"Réalisation d'une allée pavée en béton autobloquant 20x20 cm, pose sur lit de sable","Pose en damier, joints sable polymère",m²,Fourniture + Pose,0,,true,2025-07-31 13:49:31.60704+00,2025-07-31 13:49:31.60704+00
137f6a2c-272a-4c71-9d86-0ab8f4c328fa,941febc8-d596-4f9a-82a3-0af0b154e5cf,Fourniture + pose d'un adoucisseur d'eau pour réseau domestique,"Résine échangeuse, bypass, mise en service incluse",U,Traitement eau,0,,true,2025-07-29 13:51:12.684042+00,2025-07-29 13:51:12.684042+00
13c90506-dced-4f84-82ee-517e0765a93a,6d251a1e-3ab9-4ccb-a610-5b238e7aae64,Fourniture et pose d'un bac potager surélevé en bois traité classe 4,Montage + remplissage terre inclus,unité,Fourniture + Pose,0,,true,2025-07-31 13:49:31.60704+00,2025-07-31 13:49:31.60704+00
13e9dcdc-c9f8-4aed-8955-5d4df2eff54c,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Fourniture + pose d'ardoises naturelles avec crochets inox,"Pose sur volige ventilée, conforme DTU 40.11",m²,Couverture principale,0,,true,2025-07-29 12:30:44.526852+00,2025-07-29 12:30:44.526852+00
