id,trade_id,designation,description,unit,category,estimated_price,user_id,is_system,created_at,updated_at
14441fe1-fce9-4125-b8f7-a0cfcd48e68f,64ac6f32-39e4-4666-ba10-1ba5f612a151,Traitement anti-salpêtre des murs intérieurs par pulvérisation,Prévoir brossage support sec,m²,Fourniture + Pose,0,,true,2025-07-31 13:51:29.267953+00,2025-07-31 13:51:29.267953+00
147aec90-57f3-4da2-8c74-f1abf737bb1c,b55c966e-a9cd-444f-86c5-8ab88e0e0aa6,"Fourniture et pose de fenêtre aluminium laqué 2 vantaux, rupture de pont thermique, vitrage 4/16/4",Conforme RT2012 ou RE2020,u,MENUISERIE EXTÉRIEURE,0,,true,2025-07-31 09:52:24.98293+00,2025-07-31 10:03:55.009473+00
14d762ae-15cf-4356-a899-b9c743c5c1e6,6d251a1e-3ab9-4ccb-a610-5b238e7aae64,Fourniture + mise en place d'un arrosage automatique goutte à goutte ou asperseurs,"Programmateur, électrovannes, tuyauterie et buses inclus",ml,Arrosage automatique,0,,true,2025-07-29 14:03:19.189713+00,2025-07-29 14:03:19.189713+00
14efdba5-b3dd-40a1-98e8-0db8d9c5d94b,d1a0bcda-ccc3-4f0f-aadb-76910031ea90,Fourniture et pose de sol PVC / lino en rouleau ou dalles,"Pose collée ou clipsée, ragréage possible",m²,Sols souples,0,,true,2025-07-29 12:53:11.776832+00,2025-07-29 12:53:11.776832+00
15b11f6d-468b-49f6-a52a-4e45bdfede32,bece0a63-f08a-4f0a-ab8a-4d680c865487,Fourniture + pose d'une piscine coque polyester enterrée (jusqu'à 8 x 4 m),"Terrassement, dalle, remblai, mise en eau, raccordements",U,Piscines coques,0,,true,2025-07-29 14:01:13.012645+00,2025-07-29 14:01:13.012645+00
16c99fe9-6b0f-4850-b46b-8a00fd3abbd1,5c49b532-d767-4d38-bcb1-c3b58e52b0d0,Pose d'un grillage anti-fissuration galvanisé sous enduit,Recommandé en cas de faïençage,m²,FAÇADE / RAVALEMENT,0,,true,2025-07-31 09:49:56.269111+00,2025-07-31 09:49:56.269111+00
1729e044-2a26-4356-90b3-cf4c3e5d539d,5c49b532-d767-4d38-bcb1-c3b58e52b0d0,"Dépose complète de revêtement existant (enduit ou crépi), y compris évacuation",Prévoir bâchage et protections,m²,FAÇADE / RAVALEMENT,0,,true,2025-07-31 09:49:56.269111+00,2025-07-31 09:49:56.269111+00
1731cb83-c420-427a-aa0a-6d6f63243c3a,2d4265eb-a3b7-4b40-b16e-b8f6bde40bd1,Fourniture + pose d'un bloc porte intérieure (standard),Bâti + huisserie + serrure + poignée,U,Portes intérieures,0,,true,2025-07-29 13:52:38.679701+00,2025-07-29 13:52:38.679701+00
1773257d-4479-4462-a443-0a3c815144bc,fc2b8e2e-41ce-487b-a194-0199451e9747,Fourniture + pose d'un escalier métallique droit,"Marche antidérapante, main courante incluse",U,Escaliers,0,,true,2025-07-29 13:45:50.453003+00,2025-07-29 13:45:50.453003+00
178e1f62-d782-42e4-afd4-4ef07824402e,94fca71b-9b71-455c-b924-17afa76ef286,Fourniture et tirage de câbles électriques (section adaptée au circuit),"Câble H07VU, U1000R2V, etc. selon destination",ml,Installation et câblage,0,,true,2025-07-29 12:47:20.691159+00,2025-07-29 12:47:20.691159+00
17b4032d-3f2c-4c73-925b-b495c76a1b49,ae7192bc-8129-46c4-ae8d-a5d5e1346e37,"Fourniture et pose de caniveau béton 100 mm, grille galvanisée",Drainage terrasse ou voie privée,ml,Fourniture + Pose,0,,true,2025-07-31 13:45:30.038281+00,2025-07-31 13:45:30.038281+00
186636d4-27ef-4f0b-9c16-4ebc3907579d,d5c930da-35c4-4d80-9da4-50c017343aaa,"Nettoyage fin de chantier : dépoussiérage, lavage sols, vitres, sanitaires","Locaux vides, sans mobilier",m²,Fourniture + Pose,0,,true,2025-07-31 13:52:51.933171+00,2025-07-31 13:52:51.933171+00
18acff96-e3a4-42b7-b511-f911d218470f,bece0a63-f08a-4f0a-ab8a-4d680c865487,"Fourniture + pose de filtration à sable complet avec pompe, vanne 6 voies",Local technique non inclus,U,Filtrations,0,,true,2025-07-29 14:00:48.342559+00,2025-07-29 14:00:48.342559+00
190603d1-70cb-4cef-8ac7-b5ee9d926bbc,941febc8-d596-4f9a-82a3-0af0b154e5cf,Fourniture + pose d'un VMC double flux avec récupérateur de chaleur,"Conforme RT2012, gaines isolées, bouche hygroréglable",U,Ventilation,0,,true,2025-07-29 13:51:12.684042+00,2025-07-29 13:51:12.684042+00
19140453-d40b-4e97-99c8-59aa265d139f,83bbbf37-f21e-406d-8c54-e6144839b296,"Curage complet de logement ou local avant rénovation, y compris évacuation",Mobilier non inclus,forfait,CURAGE,0,,true,2025-07-31 12:25:47.40362+00,2025-07-31 12:25:47.40362+00
19ab621a-3d4a-4df1-ad87-c0d15b6b83bc,941febc8-d596-4f9a-82a3-0af0b154e5cf,Fourniture + pose d'un système domotique pour gestion du chauffage,Thermostats connectés + box centrale,U,Domotique,0,,true,2025-07-29 13:51:12.684042+00,2025-07-29 13:51:12.684042+00
1a71cae7-4200-4803-b2e3-5eeae80620d6,3ef0d530-6c52-482f-8a00-d8f191c2d0e5,"Fourniture et pose de clôture bois ajourée 1,8 m hauteur, poteaux bois + platines",Traitement autoclave classe 4,ml,Fourniture + Pose,0,,true,2025-07-31 13:42:44.855704+00,2025-07-31 13:42:44.855704+00
1a727b6e-835a-407a-93e4-51d6c40519c8,3f8ab401-45dd-4880-84fa-210707660b8e,"Fourniture et pose de motorisation portail battant 2 vantaux, bras articulés","Télécommandes incluses, réglages de fin de course",forfait,Équipements techniques,0,,true,2025-07-31 13:16:26.848436+00,2025-07-31 13:16:26.848436+00
1ab3d75b-6470-4800-a022-b31772671709,7adee654-a21a-490a-878f-aaef8927fe4c,"Fourniture et pose d'isolant mince multicouche réflecteur, agrafé entre chevrons","Utilisé en complément, non équivalent aux isolants épais",m²,ISOLATION,0,,true,2025-07-31 10:19:10.500271+00,2025-07-31 10:23:48.621919+00
1addf4a1-dde1-42e9-8eab-b2647e66fd28,d5c930da-35c4-4d80-9da4-50c017343aaa,Fourniture + nettoyage de toiture avant traitement,"Démoussage, enlèvement résidus, inspection des tuiles",m²,Toitures,0,,true,2025-07-29 14:07:51.388649+00,2025-07-29 14:07:51.388649+00
1c2a0509-2ec3-474b-981b-cbea6e569f42,1221247a-8f1b-48a6-b44a-45966baca39e,"Fourniture + pose de pannes (faitière, sablière, intermédiaire)",Section définie selon portée – à préciser en étude,ml,Structure principale de charpente,0,,true,2025-07-29 12:31:35.953123+00,2025-07-29 12:31:35.953123+00
1c5b8f74-0b9e-4485-bddf-efb20b7c4990,36379574-c8e0-4c76-b6ff-2d0c4e90b465,Fourniture + réarmement et test de différentiel suite coupure,Vérification de conformité visuelle,Interv.,Électricité différentiel,0,,true,2025-07-29 14:13:56.94271+00,2025-07-29 14:13:56.94271+00
1c7d1e17-15fa-416b-9d88-2e024d9874a4,64ac6f32-39e4-4666-ba10-1ba5f612a151,Fourniture + installation de barrière anti-remontée capillaire (injection résine murs),"Forage horizontal, cartouches hydrophobes",ml,Remontées capillaires,0,,true,2025-07-29 14:05:34.009323+00,2025-07-29 14:05:34.009323+00
1d744b32-a22b-47f4-a175-0f9fe2d655c5,aa02fe85-0172-4655-9543-0153dd47d842,Fourniture et pose de sol PVC en rouleau,Pose collée avec plinthes assorties,m²,Sol PVC,0,,true,2025-07-29 13:20:25.134276+00,2025-07-29 13:20:25.134276+00
1eeac370-8e87-4862-9bfa-d07adf309e4c,5c49b532-d767-4d38-bcb1-c3b58e52b0d0,"Nettoyage haute pression façade existante, sans produit chimique",À réaliser avant tout traitement ou enduit,m²,FAÇADE / RAVALEMENT,0,,true,2025-07-31 09:49:56.269111+00,2025-07-31 09:49:56.269111+00
1f141b0d-631d-4b79-880e-155db5162da9,b55c966e-a9cd-444f-86c5-8ab88e0e0aa6,Fourniture + pose de tapée d'isolation + habillage intérieur en rénovation,Isolation entre tableau et menuiserie – finition plâtre ou bois,u,MENUISERIE EXTÉRIEURE,0,,true,2025-07-31 10:03:55.009473+00,2025-07-31 10:03:55.009473+00
1f1da98e-4d08-475c-9980-b3686a45655d,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Pose de descentes d'eau pluviale zinc Ø80/100mm,,ml,ZINGUERIE,0,,true,2025-07-31 09:27:27.447612+00,2025-07-31 09:46:30.0661+00
1fd0b31c-254b-4d80-b028-cdc88b58c316,d1a0bcda-ccc3-4f0f-aadb-76910031ea90,Fourniture et pose de papier peint standard ou intissé,Pose droite ou raccordée selon motif,m²,Peinture et finitions murales,0,,true,2025-07-29 12:53:11.776832+00,2025-07-29 12:53:11.776832+00
20582a73-f725-4779-ac56-2a4c3e5adaca,fc2b8e2e-41ce-487b-a194-0199451e9747,Fourniture + pose d'une porte métallique blindée,"Pose en tableau maçonné, fermeture 3 points",U,Portes,0,,true,2025-07-29 13:45:50.453003+00,2025-07-29 13:45:50.453003+00
211754c3-b944-49e7-83b0-30dcb2c75116,36379574-c8e0-4c76-b6ff-2d0c4e90b465,Fourniture + remplacement d'un interrupteur ou d'une prise défectueuse,"Pose encastrée ou en saillie, sans modification du circuit",U,Électricité prises,0,,true,2025-07-29 14:13:56.94271+00,2025-07-29 14:13:56.94271+00
214237db-ffae-4d90-b268-dec16f97dfc4,1221247a-8f1b-48a6-b44a-45966baca39e,Fourniture + pose de contreventement de charpente,Contreventement par panneaux OSB ou croix bois,m²,Fixations et assemblages,0,,true,2025-07-29 12:31:35.953123+00,2025-07-29 12:31:35.953123+00
219c7cc9-09c5-40c2-b6bb-906cb73730f9,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Pose de chéneaux zinc rectangulaires,,ml,ZINGUERIE,0,,true,2025-07-31 09:27:27.447612+00,2025-07-31 09:46:30.0661+00
21a1a374-1d41-47ca-9f5d-5baaeb968a7e,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Fourniture + pose de rives et faîtages en zinc,"Traitement étanchéité renforcée, soudures éventuelles",ml,Zinguerie et évacuation,0,,true,2025-07-29 12:30:44.526852+00,2025-07-29 12:30:44.526852+00
21b4fee1-a8ae-45ba-ad49-21f6849636f8,d5c930da-35c4-4d80-9da4-50c017343aaa,Dégraissage cuisine professionnelle murs + hotte + plafond,Produits spécifiques cuisine collective,m²,Fourniture + Pose,0,,true,2025-07-31 13:52:51.933171+00,2025-07-31 13:52:51.933171+00
231f2e55-70f6-42bc-aa15-040773e8525a,18512a57-9384-4e61-ae40-cd2100d8d037,Fourniture + pose de réseau d'évacuation en PVC Ø40/50/100mm,,ml,Évacuation,0,,true,2025-07-29 13:28:31.310826+00,2025-07-29 13:28:31.310826+00
23984899-ca2a-4e90-b189-ec67788e9dcb,aa5e359a-c8ca-4cdd-912f-ef7b1359db5c,Doublage mural sur ossature avec laine minérale 100 mm et plaque de plâtre standard,"Fixation mécanique, pare-vapeur côté intérieur",m²,DOUBLAGE,0,,true,2025-07-31 10:33:58.817662+00,2025-07-31 10:33:58.817662+00
252c775c-4a00-46ab-9006-1fe6f5654316,18512a57-9384-4e61-ae40-cd2100d8d037,Fourniture + pose de mitigeurs thermostatiques,,u,Raccordements & équipements,0,,true,2025-07-29 13:28:31.310826+00,2025-07-29 13:28:31.310826+00
265ab9cf-6d39-45e8-b0d5-06f7cfbd40da,d1a0bcda-ccc3-4f0f-aadb-76910031ea90,Fourniture et pose de parquet massif collé,"Vernis, huile ou cire en finition",m²,Parquet,0,,true,2025-07-29 12:53:11.776832+00,2025-07-29 12:53:11.776832+00
2685252e-5a98-4057-95b3-148a6888803b,2d4265eb-a3b7-4b40-b16e-b8f6bde40bd1,Fourniture et pose de fenêtre de toit type Velux GGU 114x118 avec raccord d'étanchéité,Pose sur toiture ardoise ou tuile,unité,Menuiseries,0,,true,2025-07-31 13:18:36.290752+00,2025-07-31 13:24:06.394897+00
2691664a-bec1-48ff-bc63-2122f4b98dab,5c49b532-d767-4d38-bcb1-c3b58e52b0d0,Réalisation d'un badigeon à la chaux 2 couches sur façade minérale,Application manuelle ou brosse large,m²,FAÇADE / RAVALEMENT,0,,true,2025-07-31 09:49:56.269111+00,2025-07-31 09:49:56.269111+00
26b324c9-10f5-4ad7-8b53-c3e471c2470e,941febc8-d596-4f9a-82a3-0af0b154e5cf,Vidange + désembouage installation chauffage existante,Inclut produit chimique spécifique,forfait,MAINTENANCE,0,,true,2025-07-31 12:33:12.555492+00,2025-07-31 12:33:12.555492+00
2724bfb0-962e-4d03-bb9e-1824a7b72f11,2d4265eb-a3b7-4b40-b16e-b8f6bde40bd1,Fourniture + pose d'une porte de garage sectionnelle motorisée,"Détection d'obstacles, système anti-pincement, télécommande",U,Portes de garage,0,,true,2025-07-29 13:52:38.679701+00,2025-07-29 13:52:38.679701+00
272afb5e-ba78-4362-b847-4d02335d0516,7adee654-a21a-490a-878f-aaef8927fe4c,"Pose de bandes résilientes sous chape, pour affaiblissement acoustique",Pose en périphérie de pièces à vivre,ml,ISOLATION,0,,true,2025-07-31 10:19:10.500271+00,2025-07-31 10:23:48.621919+00
2758365c-1c11-4c1d-833f-18dcd3a2a13e,d5c930da-35c4-4d80-9da4-50c017343aaa,Fourniture + nettoyage de fin de chantier (maison individuelle ou logement jusqu'à 120 m²),"Sols, vitres, plinthes, sanitaires, cuisine, dépoussiérage intégral",Forfait,Fin de chantier,0,,true,2025-07-29 14:07:51.388649+00,2025-07-29 14:07:51.388649+00
2776eb24-27bc-4a45-95de-50d66e197ca6,941febc8-d596-4f9a-82a3-0af0b154e5cf,"Fourniture et pose de chaudière gaz condensation 24 kW, évacuation ventouse",Mise en service incluse (hors abonnement gaz),unité,CHAUDIÈRE,0,,true,2025-07-31 12:33:12.555492+00,2025-07-31 12:33:12.555492+00
279ab3be-53b0-41e3-9085-0817c09e7907,cfdf2048-95ca-4c75-b279-83cb5f69cfdc,"Réalisation d'un plancher hourdis béton, entrevous + poutrelles + coulage chape",Pose d'armatures anti-fissuration incluse,m²,PLANCHER,0,,true,2025-07-31 12:23:29.080455+00,2025-07-31 12:23:29.080455+00
27bc17c6-d17e-4d7a-9f97-b0781b631782,fa7512ef-49e2-47ad-b080-d0b4252ccc7f,"Pose de pompe à chaleur air/eau 11 kW, module intérieur + unité extérieure","Fluide R32, hors travaux électriques",unité,POMPE À CHALEUR,0,,true,2025-07-31 12:33:12.555492+00,2025-07-31 12:56:33.173278+00
27dc6cf1-b999-4079-a65b-754492cffea5,1221247a-8f1b-48a6-b44a-45966baca39e,Dépose complète d'une ancienne charpente,Évacuation comprise – hors amiante,m²,Démolition,0,,true,2025-07-29 12:31:35.953123+00,2025-07-29 12:31:35.953123+00
291f21b5-87de-4323-8078-f06069d5d056,c91a6dd4-464c-4c80-b1cd-8b2973b44f86,"Fourniture et pose de carrelage mural grand format (ex. 30x60 cm), pose verticale",Prévoir découpe laser si carreaux rectifiés,m²,CARRELAGE,0,,true,2025-07-31 10:55:34.305975+00,2025-07-31 10:55:34.305975+00
29c233d5-9ac7-45f0-9d02-56fce006689f,cfdf2048-95ca-4c75-b279-83cb5f69cfdc,Création de longrines préfabriquées posées sur plots,Compatible vide sanitaire ou radier,ml,Éléments porteurs,0,,true,2025-07-29 13:39:47.690557+00,2025-07-29 13:39:47.690557+00
29d827b9-1732-4b38-a9e0-5604cf5ff7a5,3b8a7f21-3bef-405f-ab48-0820b4be41a2,Fourniture + pose de tuiles mécaniques à emboîtement,"Conforme DTU 40.21, sur liteaux + écran sous-toiture",m²,Couverture principale,0,,true,2025-07-29 12:30:44.526852+00,2025-07-29 12:30:44.526852+00